,zip,year,count,process_time
326,10038,2012,665,5.616842105263154
327,10038,2013,818,5.404645476772616
328,10038,2014,859,5.189057043073335
329,10038,2015,1354,5.325406203840475
330,10038,2016,2101,5.6321275583055685
331,10038,2017,1462,5.841450068399463
332,10038,2018,1195,5.323682008368202
333,10039,2010,379,5.2464379947229585
334,10039,2011,1256,5.010191082802554
335,10039,2012,1328,5.45045180722891
336,10039,2013,1753,5.6600684540787185
337,10039,2014,2321,4.901766479965525
338,10039,2015,2138,5.657343311506085
339,10039,2016,3351,6.175470008952555
340,10039,2017,3102,6.209058671824626
341,10039,2018,2994,6.297160988643969
342,10040,2010,644,8.549378881987584
343,10040,2011,2177,8.141525034451076
344,10040,2012,2325,7.727827956989262
345,10040,2013,3537,8.456827820186595
346,10040,2014,5823,7.506560192340726
347,10040,2015,7034,9.102032982655654
348,10040,2016,7866,10.045092804474956
349,10040,2017,8452,10.441327496450562
350,10040,2018,9350,9.36949732620318
351,10041,2015,3,2.966666666666667
352,10041,2016,6,7.766666666666666
353,10041,2017,13,2.3461538461538463
354,10041,2018,6,7.0
355,10044,2010,4,4.925
356,10044,2011,2,9.65
357,10044,2012,6,8.083333333333334
358,10044,2013,13,3.8999999999999995
359,10044,2014,19,6.447368421052631
360,10044,2015,31,7.587096774193547
361,10044,2016,39,10.182051282051283
362,10044,2017,50,8.317999999999996
363,10044,2018,36,7.299999999999999
364,10045,2016,2,2.1
365,10045,2018,2,1.2
366,10048,2011,11,4.290909090909091
367,10048,2012,4,3.4
368,10048,2013,1,0.8
369,10048,2014,2,0.65
370,10048,2015,2,0.6
371,10048,2017,1,0.5
372,10048,2018,1,12.2
373,10065,2010,200,3.6089999999999987
374,10065,2011,655,4.98641221374046
375,10065,2012,541,5.6739371534195895
376,10065,2013,585,5.374358974358974
377,10065,2014,1121,5.3131132917038375
378,10065,2015,1250,6.161760000000013
379,10065,2016,1648,6.738713592233026
380,10065,2017,1103,6.665548504079785
381,10065,2018,921,7.157980456026062
382,10069,2010,8,1.05
383,10069,2011,34,4.011764705882353
384,10069,2012,40,4.2525
385,10069,2013,115,4.057391304347828
386,10069,2014,119,3.131092436974788
387,10069,2015,58,5.986206896551723
388,10069,2016,66,4.513636363636363
389,10069,2017,75,4.7266666666666675
390,10069,2018,74,4.2418918918918935
391,10075,2010,172,5.518023255813955
392,10075,2011,487,4.993018480492816
393,10075,2012,401,5.0633416458852825
394,10075,2013,530,5.411320754716981
395,10075,2014,838,5.128400954653939
396,10075,2015,848,6.918749999999993
397,10075,2016,982,6.903462321792265
398,10075,2017,1104,6.123822463768116
399,10075,2018,944,6.609322033898302
400,10103,2013,2,11.4
401,10103,2014,2,1.85
402,10103,2015,2,8.2
403,10103,2016,3,6.6000000000000005
404,10103,2017,8,4.375
405,10103,2018,10,4.63
406,10104,2012,1,2.9
407,10105,2017,2,7.9
408,10105,2018,2,9.95
409,10106,2017,2,1.7999999999999998
410,10106,2018,1,1.0
411,10107,2014,1,14.0
412,10107,2017,4,3.65
413,10107,2018,3,0.26666666666666666
414,10110,2017,2,1.75
415,10110,2018,3,3.033333333333333
416,10111,2014,4,4.55
417,10111,2015,1,1.6
418,10111,2016,5,7.92
419,10111,2017,16,5.481250000000001
420,10111,2018,2,7.8
421,10112,2013,2,1.4
422,10112,2014,1,1.9
423,10112,2015,3,1.0
424,10112,2016,22,4.1409090909090915
425,10112,2017,95,3.4305263157894736
426,10115,2016,1,14.1
427,10115,2017,1,0.4
428,10115,2018,1,16.1
429,10118,2016,14,0.7499999999999999
430,10118,2017,1,0.8
431,10118,2018,4,5.1499999999999995
432,10119,2013,3,5.7
433,10119,2014,11,4.3
434,10119,2015,3,7.033333333333334
435,10119,2016,11,2.9181818181818184
436,10119,2017,9,3.5111111111111115
437,10119,2018,5,4.5600000000000005
438,10120,2016,2,2.5
439,10120,2017,9,2.8888888888888884
440,10120,2018,80,3.0249999999999995
441,10121,2016,24,1.1041666666666667
442,10121,2017,11,3.2181818181818183
443,10121,2018,17,5.358823529411764
444,10122,2017,2,0.45
445,10123,2015,1,1.7
446,10123,2016,1,0.4
447,10123,2017,2,9.15
448,10123,2018,3,1.8
449,10128,2010,322,5.080434782608698
450,10128,2011,1076,5.437267657992565
451,10128,2012,1173,6.060869565217403
452,10128,2013,1460,6.076575342465758
453,10128,2014,1728,6.101215277777787
454,10128,2015,1960,6.771020408163272
455,10128,2016,1993,7.625589563472166
456,10128,2017,2748,5.697671033478909
457,10128,2018,1776,6.938626126126135
458,10129,2013,2,1.15
459,10129,2014,4,4.175
460,10151,2017,3,1.0333333333333334
461,10151,2018,3,2.433333333333333
462,10152,2017,2,17.15
463,10153,2013,6,3.0
464,10153,2014,2,7.5
465,10153,2015,1,6.4
466,10153,2016,1,2.7
467,10153,2018,2,1.8499999999999999
468,10154,2016,2,7.75
469,10154,2017,2,0.75
470,10154,2018,3,7.033333333333334
471,10155,2017,1,1.1
472,10155,2018,2,1.5
473,10158,2017,1,13.7
474,10158,2018,16,5.687500000000001
475,10162,2011,1,2.1
476,10162,2012,1,5.7
477,10162,2013,3,13.5
478,10162,2014,12,5.541666666666667
479,10162,2015,22,3.9454545454545458
480,10162,2016,6,6.266666666666667
481,10162,2017,9,3.066666666666667
482,10162,2018,3,8.266666666666666
483,10165,2017,5,3.46
484,10165,2018,3,7.5
485,10167,2016,3,12.866666666666667
486,10167,2017,1,16.2
487,10167,2018,2,11.299999999999999
488,10168,2017,4,0.6000000000000001
489,10168,2018,8,1.8750000000000002
490,10169,2016,1,14.4
491,10169,2017,2,1.5
492,10169,2018,1,3.3
493,10170,2016,1,0.3
494,10170,2017,1,1.1
495,10170,2018,2,16.200000000000003
496,10171,2018,1,0.8
497,10172,2016,2,3.95
498,10172,2018,5,5.5600000000000005
499,10173,2017,1,0.4
500,10174,2016,3,1.7333333333333332
501,10174,2017,1,13.5
502,10175,2017,1,5.3
503,10176,2017,1,14.3
504,10176,2018,1,1.4
505,10177,2016,1,4.4
506,10177,2017,1,14.4
507,10177,2018,3,3.266666666666667
508,10178,2016,1,1.2
509,10178,2017,1,2.0
510,10178,2018,2,2.4000000000000004
511,10271,2016,2,12.8
512,10271,2017,6,4.3
513,10271,2018,4,1.275
514,10278,2016,6,4.45
515,10278,2017,18,4.027777777777779
516,10278,2018,15,6.400000000000001
517,10279,2017,1,1.5
518,10279,2018,3,4.2
519,10280,2010,9,2.4888888888888894
520,10280,2011,58,5.894827586206896
521,10280,2012,56,5.2803571428571425
522,10280,2013,136,4.614705882352943
523,10280,2014,111,7.359459459459463
524,10280,2015,119,5.19327731092437
525,10280,2016,186,6.016129032258065
526,10280,2017,309,4.633980582524272
527,10280,2018,174,6.198850574712646
