zip,year,value
10304,2010,4.519463087
10304,2011,6.519400353
10304,2012,6.466693038
10304,2013,5.441849148
10304,2014,5.828175896
10304,2015,7.255175258
10304,2016,8.754535479
10304,2017,6.654912701
10304,2018,7.119071588
10305,2010,6.394482759
10305,2011,7.829912875
10305,2012,7.397390273
10305,2013,7.189276139
10305,2014,7.093964335
10305,2015,7.843106099
10305,2016,7.414390244
10305,2017,7.113660975
10305,2018,8.270972424
10306,2010,6.066101695
10306,2011,7.85340803
10306,2012,8.218694097
10306,2013,7.833565891
10306,2014,6.421941639
10306,2015,7.048801128
10306,2016,5.835819672
10306,2017,6.919908224
10306,2018,7.396374368
10307,2010,5.34
10307,2011,6.04375
10307,2012,7.272173913
10307,2013,5.202118644
10307,2014,6.087739464
10307,2015,5.748788368
10307,2016,4.613473684
10307,2017,4.694003527
10307,2018,4.964855072
10308,2010,6.349264706
10308,2011,7.882818533
10308,2012,8.043830571
10308,2013,8.668457539
10308,2014,6.892491468
10308,2015,7.576561352
10308,2016,5.58264095
10308,2017,6.627129563
10308,2018,6.965897436
10309,2010,6.165413534
10309,2011,6.735753176
10309,2012,6.711090573
10309,2013,5.201608911
10309,2014,5.636608066
10309,2015,6.928330206
10309,2016,6.678723404
10309,2017,6.1625
10309,2018,5.474503574
10310,2010,5.234615385
10310,2011,6.341214751
10310,2012,6.738278146
10310,2013,5.354893617
10310,2014,5.818895966
10310,2015,6.81898527
10310,2016,9.115011161
10310,2017,6.771534196
10310,2018,7.562737844
10312,2010,5.809148265
10312,2011,6.613860465
10312,2012,6.639061033
10312,2013,5.976040172
10312,2014,5.947752193
10312,2015,5.904978935
10312,2016,4.944180523
10312,2017,6.135725191
10312,2018,5.587568479
10314,2010,7.199315068
10314,2011,6.857537272
10314,2012,6.795249695
10314,2013,6.739922647
10314,2014,7.398480356
10314,2015,7.686350975
10314,2016,7.963612288
10314,2017,8.548768918
10314,2018,9.244418103
10400,2011,0.3
10451,2010,6.19178744
10451,2011,6.496269727
10451,2012,7.313070539
10451,2013,6.369396325
10451,2014,7.540625
10451,2015,9.108512753
10451,2016,10.56838509
10451,2017,10.06362755
10451,2018,10.15262373
10452,2010,6.9629124
10452,2011,6.840422323
10452,2012,7.92440547
10452,2013,6.505264441
10452,2014,7.860511247
10452,2015,10.23210127
10452,2016,11.04518732
10452,2017,11.09725006
10452,2018,10.91234073
10453,2010,4.997854589
10453,2011,6.204228059
10453,2012,6.4620086
10453,2013,7.16732007
10453,2014,8.30606961
10453,2015,9.347084199
10453,2016,8.992824795
10453,2017,9.05685463
10453,2018,9.536422357
10454,2010,5.059782609
10454,2011,5.986071429
10454,2012,6.98321492
10454,2013,5.850922509
10454,2014,7.004126625
10454,2015,8.46101774
10454,2016,8.864179687
10454,2017,8.393912398
10454,2018,8.298101266
10455,2010,5.853614458
10455,2011,6.367027027
10455,2012,5.999043062
10455,2013,5.201449275
10455,2014,7.004116118
10455,2015,8.704372409
10455,2016,9.195729984
