zip,hour,value
10119,20,2
10120,10,1
10120,14,1
10120,15,8
10120,16,14
10120,17,18
10120,18,22
10120,19,2
10121,10,1
10121,13,1
10121,16,1
10123,9,1
10123,15,1
10123,20,1
10128,0,72
10128,1,46
10128,2,12
10128,3,7
10128,4,14
10128,5,9
10128,6,12
10128,7,42
10128,8,34
10128,9,42
10128,10,31
10128,11,31
10128,12,34
10128,13,36
10128,14,31
10128,15,26
10128,16,29
10128,17,33
10128,18,36
10128,19,39
10128,20,38
10128,21,83
10128,22,79
10128,23,92
10151,14,2
10151,15,1
10153,9,1
10153,19,1
10154,0,1
10155,10,1
10158,0,5
10158,3,1
10158,4,1
10158,9,1
10158,14,1
10158,22,2
10158,23,1
10162,15,1
10162,17,1
10162,23,1
10165,12,1
10168,14,1
10168,15,1
10168,21,4
10170,9,1
10170,23,1
10172,10,1
10172,13,1
10172,18,1
10172,22,1
10177,21,1
10178,15,1
10271,13,3
10271,14,1
10278,12,1
10278,14,1
10278,16,1
10278,18,1
10278,19,1
10278,20,1
10278,21,1
10278,22,1
10279,17,2
10280,0,14
10280,1,4
10280,2,1
10280,6,3
10280,7,4
10280,8,5
10280,9,3
10280,10,6
10280,11,5
10280,12,8
10280,13,3
10280,14,2
10280,15,4
10280,16,6
10280,18,4
10280,19,11
10280,20,6
10280,21,19
10280,22,9
10280,23,10
10281,9,1
10281,11,5
10281,12,1
10281,13,1
10281,14,3
10281,15,3
10281,16,1
10281,17,1
10281,18,2
10281,20,1
10281,22,1
10282,0,4
10282,1,5
10282,2,1
10282,6,17
10282,7,72
10282,8,62
10282,9,27
10282,10,17
10282,11,14
10282,12,41
10282,13,21
10282,14,29
10282,15,16
10282,16,19
10282,17,31
10282,18,70
10282,19,34
10282,20,38
10282,21,4
10282,22,17
10282,23,9
10301,0,104
10301,1,54
10301,2,36
10301,3,20
10301,4,16
10301,5,27
10301,6,48
10301,7,99
10301,8,80
10301,9,82
10301,10,77
10301,11,81
10301,12,69
10301,13,79
10301,14,77
10301,15,77
10301,16,89
10301,17,95
10301,18,92
10301,19,112
10301,20,103
10301,21,129
10301,22,128
10301,23,155
10302,0,62
10302,1,27
10302,2,19
10302,3,11
10302,4,10
10302,5,2
10302,6,13
10302,7,25
10302,8,52
10302,9,49
10302,10,25
10302,11,37
10302,12,33
10302,13,46
10302,14,32
10302,15,48
10302,16,40
10302,17,39
10302,18,21
10302,19,41
10302,20,61
10302,21,74
10302,22,68
10302,23,59
10303,0,77
10303,1,42
10303,2,21
10303,3,17
10303,4,11
10303,5,9
10303,6,20
10303,7,44
10303,8,70
10303,9,52
10303,10,47
10303,11,64
10303,12,44
10303,13,57
10303,14,50
10303,15,32
10303,16,38
10303,17,54
10303,18,66
10303,19,66
10303,20,69
10303,21,100
10303,22,111
10303,23,117
10304,0,163
10304,1,98
10304,2,50
10304,3,39
10304,4,16
10304,5,20
10304,6,38
10304,7,37
10304,8,49
10304,9,64
10304,10,56
10304,11,70
10304,12,58
10304,13,65
10304,14,65
10304,15,93
10304,16,118
10304,17,103
10304,18,125
10304,19,127
10304,20,133
10304,21,154
10304,22,220
10304,23,177
10305,0,69
10305,1,20
10305,2,14
10305,3,13
10305,4,9
10305,5,12
10305,6,22
10305,7,34
10305,8,41
10305,9,70
10305,10,72
10305,11,63
10305,12,49
10305,13,54
10305,14,50
10305,15,37
10305,16,52
10305,17,41
10305,18,59
10305,19,52
10305,20,60
10305,21,93
10305,22,103
10305,23,100
10306,0,77
10306,1,27
10306,2,17
10306,3,19
10306,4,14
10306,5,14
10306,6,13
10306,7,44
10306,8,54
10306,9,69
10306,10,67
10306,11,65
10306,12,61
10306,13,60
10306,14,70
10306,15,50
10306,16,66
10306,17,64
10306,18,71
10306,19,70
10306,20,70
10306,21,101
10306,22,90
10306,23,87
10307,0,6
10307,1,3
10307,2,2
10307,3,1
10307,4,2
10307,5,1
10307,6,4
10307,7,12
10307,8,11
10307,9,17
10307,10,20
10307,11,12
10307,12,12
10307,13,13
10307,14,17
10307,15,18
10307,16,22
10307,17,17
10307,18,20
10307,19,22
10307,20,15
10307,21,27
10307,22,17
10307,23,22
10308,0,24
10308,1,9
10308,2,11
10308,3,5
10308,4,4
10308,5,5
10308,6,7
10308,7,32
10308,8,28
10308,9,36
10308,10,31
10308,11,30
10308,12,31
10308,13,23
10308,14,26
10308,15,24
10308,16,29
10308,17,49
10308,18,46
10308,19,42
10308,20,54
10308,21,62
10308,22,62
10308,23,40
10309,0,41
10309,1,17
10309,2,5
10309,3,2
10309,4,4
10309,5,10
10309,6,13
10309,7,14
10309,8,33
10309,9,25
10309,10,28
10309,11,28
10309,12,35
10309,13,20
10309,14,30
10309,15,35
10309,16,31
10309,17,26
10309,18,46
10309,19,28
10309,20,38
10309,21,70
10309,22,62
10309,23,49
10310,0,77
10310,1,45
10310,2,23
10310,3,13
10310,4,3
10310,5,6
10310,6,24
10310,7,29
10310,8,23
10310,9,36
10310,10,43
10310,11,37
10310,12,57
10310,13,55
10310,14,41
10310,15,53
10310,16,55
10310,17,63
10310,18,49
10310,19,52
10310,20,86
10310,21,76
10310,22,97
10310,23,96
