zip,year,count,process_time
10278,2016,6,4.45
10278,2017,18,4.027777778
10278,2018,15,6.4
10279,2017,1,1.5
10279,2018,3,4.2
10280,2010,9,2.488888889
10280,2011,58,5.894827586
10280,2012,56,5.280357143
10280,2013,136,4.614705882
10280,2014,111,7.359459459
10280,2015,119,5.193277311
10280,2016,186,6.016129032
10280,2017,309,4.633980583
10280,2018,174,6.198850575
10281,2010,2,0.7
10281,2011,23,2.8
10281,2012,7,4.257142857
10281,2013,16,4.55625
10281,2014,20,7.615
10281,2015,38,6.173684211
10281,2016,40,4.4275
10281,2017,91,2.928571429
10281,2018,25,4.192
10282,2010,7,6.585714286
10282,2011,38,4.392105263
10282,2012,29,4.717241379
10282,2013,45,2.493333333
10282,2014,35,4.882857143
10282,2015,68,5.582352941
10282,2016,64,7.0390625
10282,2017,74,6.052702703
10282,2018,592,5.030236486
10301,2010,296,4.88277027
10301,2011,1212,6.751155116
10301,2012,1500,6.106266667
10301,2013,1391,5.349604601
10301,2014,1932,5.915269151
10301,2015,2460,7.771869919
10301,2016,2788,8.70161406
10301,2017,3047,6.516836232
10301,2018,3288,7.231751825
10302,2010,103,5.333980583
10302,2011,553,6.79801085
10302,2012,649,6.125731895
10302,2013,687,5.469432314
10302,2014,976,7.630020492
10302,2015,1120,7.700535714
10302,2016,1308,8.017889908
10302,2017,1552,8.178737113
10302,2018,1537,9.654716981
10303,2010,172,5.59127907
10303,2011,683,6.98272328
10303,2012,732,6.323224044
10303,2013,781,5.288988476
10303,2014,1293,7.477803558
10303,2015,1292,7.919040248
10303,2016,1574,8.083418043
10303,2017,1789,8.870262717
10303,2018,2085,10.41338129
10304,2010,298,4.519463087
10304,2011,1134,6.519400353
10304,2012,1264,6.466693038
10304,2013,1644,5.441849148
10304,2014,2456,5.828175896
10304,2015,2425,7.255175258
10304,2016,2734,8.754535479
10304,2017,2921,6.654912701
10304,2018,3576,7.119071588
10305,2010,290,6.394482759
10305,2011,1033,7.829912875
10305,2012,843,7.397390273
10305,2013,1119,7.189276139
10305,2014,1458,7.093964335
10305,2015,1951,7.843106099
10305,2016,2460,7.414390244
10305,2017,2401,7.113660975
10305,2018,2067,8.270972424
10306,2010,295,6.066101695
10306,2011,1071,7.85340803
10306,2012,1118,8.218694097
10306,2013,1290,7.833565891
10306,2014,1782,6.421941639
10306,2015,2127,7.048801128
10306,2016,2440,5.835819672
10306,2017,2833,6.919908224
10306,2018,2372,7.396374368
10307,2010,65,5.34
10307,2011,240,6.04375
10307,2012,230,7.272173913
10307,2013,472,5.202118644
10307,2014,522,6.087739464
10307,2015,619,5.748788368
10307,2016,475,4.613473684
10307,2017,567,4.694003527
10307,2018,552,4.964855072
10308,2010,136,6.349264706
10308,2011,518,7.882818533
10308,2012,543,8.043830571
